""EALI03014,Ingeniería Económica,2,90 Créditos,M2,,,16:00-18:00,,,,A301,"DAMIAN RAMOS Enrique, M.F.","ZALETA AGUILAR Alejandro, Dr.","PLASCENCIA MORA Héctor, Dr."
"",INGLÉS 1A,4,,SA1,,12:00-14:00,,,12:00-14:00,,A101,"OSORNIO GARCÍA Karina, Lic.",,
"",INGLÉS 1A,4,,SA2,,08:00-10:00,,,08:00-10:00,,CAADI,"HERNÁNDEZ MENDEZ Sandra, Lic.",,
"",INGLÉS 1B,4,,SA1,12:00-14:00,,,12:00-14:00,,,CAADI,"CHÁVEZ GARCÍA SAUL, LIC",,
"",INGLÉS 2A,4,,SA1,08:00-10:00,,,08:00-10:00,,,A303,"GARCÍA FLORES Mayra Itzel, Lic.",,
"",INGLÉS 2A,4,,SA2,,08:00-10:00,,,08:00-10:00,,A105,"OSORNIO GARCÍA Karina, Lic.",,
"",INGLÉS 2B,4,,SA1,,14:00-16:00,,,14:00-16:00,,Aula Lab. Manuf.,"GALLARDO GARCÍA Ana Isabel, MATSOL",,
"",INGLÉS 3A,4,,SA1,,14:00-16:00,,,14:00-16:00,,A308,"OSORNIO GARCÍA Karina, Lic.",,
"",INGLÉS 3A,4,,SA2,14:00-16:00,,,14:00-16:00,,,Aula Lab. Manuf.,"CHÁVEZ GARCÍA SAUL, LIC",,
""ACLI10001,Inmersión en el Ambiente Laboral,0,200 créditos,S1,,,,,,,,"IBARRA MANZANO Mario Alberto, Dr.","GARCÍA CAPULÍN Carlos Hugo, Dr.","CORREA TOMÉ Fernando Enrique, Dr."
""SHLI01041,Integración a la Vida Universitaria (N. I.),1,Ninguno,NI_S1,,,12:00-13:00,,,,A310,"RODRÍGUEZ GARCÍA Juan Manuel, C. P.","IBARRA MANZANO Mario Alberto, Dr.","GARCÍA CAPULÍN Carlos Hugo, Dr."
""IILI06073,Inteligencia Artificial,4,"Programación Orientada a Objetos",S1,10:00-12:00,,,10:00-12:00,,,LAB. B,"SÁNCHEZ YAÑEZ Raúl Enrique, Dr.","IBARRA MANZANO Mario Alberto, Dr.","GARCÍA CAPULÍN Carlos Hugo, Dr."
""IILI02075,Laboratorio de Mediciones,2,Ninguno,S1,,,08:00-10:00,,,,BLabELE,"CANEDO ROMERO Gerardo Enrique, M. en I.","IBARRA MANZANO Mario Alberto, Dr.","GARCÍA CAPULÍN Carlos Hugo, Dr."
""NELI06009,Matemáticas Discretas,4,Ninguno,S1,14:00-16:00,,,14:00-16:00,,,A310,"VALDEZ PEÑA Sergio Ivan, Dr.","IBARRA MANZANO Mario Alberto, Dr.","GARCÍA CAPULÍN Carlos Hugo, Dr."
""NELI06010,Mecánica,4,Ninguno,NI_S1,,12:00-14:00,,,12:00-14:00,,A303,"ROJAS SALINAS Wilma Betzabe, Q.F.B.","IBARRA MANZANO Mario Alberto, Dr.","GARCÍA CAPULÍN Carlos Hugo, Dr."
