"",INGLÉS 3A,4,,SA2,14:00-16:00,,,14:00-16:00,,,Aula Lab. Manuf.,"CHÁVEZ GARCÍA SAUL, LIC",,
""SHLI03065,INMERSIÓN EN EL AMBIENTE LABORAL,2,220 CREDITOS,E1,,,08:00-10:00,,,,L.ELECT.(1),"GUTIÉRREZ MARTÍN Heriberto, M.I.",,
""IILI06069,INSTALACIONES ELÉCTRICAS,4,"CIRCUITOS ELÉCTRICOS DE C.A.",E1,10:00-12:00,,,10:00-12:00,,,207,"LOZANO GARCÍA Jóse Merced, Dr.",,
""SHLI01041,INTEGRACIÓN A LA VIDA UNIVERSITARIA,1,Ninguno,E1-NI,,,09:00-10:00,,,,207,"BOLIVAR ALONZO Sofía, Lic.",,
""IILI06074,INTRODUCCIÓN A LAS REDES INTELIGENTES,4,"Sistemas de Distribución",E1,10:00-12:00,,,10:00-12:00,,,L.ELECT.(2),"ESTRADA GARCÍA Héctor Javier, Dr.",,
""IILI06079,MÁQUINAS DE C.D. Y TRANSFORMADORES,4,"CIRCUITOS ELÉCTRICOS DE C.D.",E1,,14:00-16:00,,,14:00-16:00,,207,"HERNÁNDEZ ROBLES, IVAN ABEL, DR.",,
""IILI06082,MÁQUINAS SÍNCRONAS Y ASÍNCRONAS,4,"MÁQUINAS DE C.D. Y TRANSFORMADORES",E1,18:00-20:00,,,18:00-20:00,,,207,"JUAREZ REQUENA Miguel Angel, M.I.",,
""NELI06010,MECÁNICA,4,Ninguno,E1-NI,,10:00-12:00,,,10:00-12:00,,207,"ROSALES GARCÍA Juan, Dr.",,
""IILI04086,MEDICIONES ELÉCTRICAS,3,Ninguno,E1,,12:00-13:30,,,12:00-13:30,,206,"ESTRADA PINTOR Marco Ivan, Ing.",,
""NELI04011,MÉTODOS NUMÉRICOS,3,Cálculo Integral,E1,,10:00-11:30,,,10:00-11:30,,312,"ZAMORA CÁRDENAS Enrique Arnoldo, Dr.",,
""IILI04105,PROGRAMACIÓN EN INGENIERÍA ELÉCTRICA,3,Ninguno,E1,12:00-13:30,,,12:00-13:30,,,207,"GUZMÁN CABRERA Rafael, Dr.",,
""EALI06037,PROYECTOS DE INGENIERÍA,4,120 Créditos,E1,16:00-18:00,,,16:00-18:00,,,206,"RAMOS CARRANZA Hugo Antonio, Dr.",,
""NELI06016,QUÍMICA UNIVERSITARIA,4,Ninguno,E1-NI,16:00-18:00,,,16:00-18:00,,,,"VIDAL CÁRDENAS Geronimo, Ing.",,
""SHLI03062,REDACCIÓN DE CV Y ENTREVISTA DE TRABAJO,3,Ninguno,E1,,16:00-17:30,,,16:00-17:30,,206,"CAPETILLO RODRÍGUEZ Stephanie, Lic.",,
""SHLI03063,RESPONSABILIDAD SOCIAL,2,Ninguno,E1,,,12:00-14:00,,,,206,"BOLIVAR ALONZO Sofía, Lic.",,
""ACLI10001,SEMINARIO DE PROYECTO DE TITULACIÓN,2,220 CREDITOS,E1,,,12:00-14:00,,,,L.ELECT.(1),"GUTIÉRREZ MARTÍN Heriberto, M.I.",,
""IILI06115,SEÑALES Y SISTEMAS,4,90 Créditos,E1,,08:00-10:00,,,08:00-10:00,,L.ELECT.(1),"GUZMÁN CABRERA Rafael, Dr.",,
""IILI06121,SISTEMAS DE DISTRIBUCIÓN,4,Instalaciones Eléctricas,E1,12:00-14:00,,,12:00-14:00,,,206,"PIZANO MARTÍNEZ Alejandro, Dr.",,
""IILI04129,SUBESTACIONES ELÉCTRICAS,4,"MÁQUINAS DE C.D. Y TRANSFORMADORES",E1,,18:00-20:00,,,18:00-20:00,,207,"JUAREZ REQUENA Miguel Angel, M.I.",,
""NELI06017,TEORÍA ELECTROMAGNÉTICA,4,Ninguno,E1,,14:00-16:00,,,14:00-16:00,,206,"ROMERO MANCERA, Homero, Ing.",,
""NELI06017,TEORÍA ELECTROMAGNÉTICA,4,Ninguno,E2,,12:00-14:00,,,12:00-14:00,,207,"GONZÁLEZ RAMÍREZ Xiomara, dra.",,
""IILI06146,(SISTEMAS ELÉCTRICOS EN MEDIA  Y ALTA,4,200 créditos,E1,16:00-18:00,,,16:00-18:00,,,L.ELECT.(2),"ARROYO RAMOS Sergio, Ing.",,
